Prev_MathAnx_score,Prev_hcp_h456e2_math,Prev_hcp_h456e2_word,points,easy_math_cnt,easy_word_cnt,easy_acc_math,easy_acc_word,easy_RT_math,easy_RT_word,hard_math_cnt,hard_word_cnt,hard_level_math,hard_level_word,hard_acc_math,hard_acc_word,hard_RT_math,hard_RT_word,hcp_h2e2_math,hcp_h3e2_math,hcp_h4e2_math,hcp_h5e2_math,hcp_h6e2_math,hcp_h456e2_math,hcp_h2e2_word,hcp_h3e2_word,hcp_h4e2_word,hcp_h5e2_word,hcp_h6e2_word,hcp_h456e2_word
1.36,0.65,0.86667,291,11,10,1,0.9,2097,1823,39,40,3.7436,4.65,0.71795,0.7,3484,3293,0.2,1,0.9,1,0.8,0.9,0.2,0.8,1,1,1,1
2.84,0.96667,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.84,1,1,291,9,9,1,1,1870,1759,41,41,4.2439,4.7561,0.70732,0.70732,4323,2231,0.1,1,1,1,1,1,0.1,1,1,1,1,1
2.56,0.73333,0.016667,336,26,33,1,0.90909,1866,2377,24,17,4.125,3.9412,0.79167,0.70588,3793,3358,0,0,0.7,0.9,0.8,0.8,0,0,0.1,0.8,0.8,0.56667
2.6,0.98333,0.96667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.24,0.9,1,316,10,11,1,1,1935,1897,40,39,5.325,5.8462,0.75,0.74359,3782,2826,0.1,0.9,1,1,1,1,0,0.9,1,1,1,1
2,0.43333,0.95,340,39,9,1,1,2291,1862,11,41,4,5.2195,0.72727,0.7561,4093,3246,0,0,0.3,0.4,0.4,0.36667,0.1,1,1,1,1,1
1.36,0.95,0.88333,306,11,11,1,1,2364,2354,39,39,4.3333,5.359,0.71795,0.76923,4425,4190,0,0.9,1,1,1,1,0,0.9,1,1,1,1
1.68,1,0.98333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.68,0.083333,0.066667,328,46,47,0.86957,0.87234,2600,2848,4,3,3.5,3,0.75,0,3522,4856,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.066667
1.04,0.98333,1,307,19,18,1,1,2031,1878,31,32,4.0645,4.6563,0.74194,0.6875,3969,3507,0,0.1,1,1,1,1,0,0.2,1,1,1,1
2.16,0,0.51667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4,0.15,0.83333,325,31,11,1,1,1792,1936,19,39,4.4211,3.7949,0.73684,0.71795,3956,3632,0.2,0.4,0.5,0.3,0.5,0.43333,0,1,0.9,1,1,0.96667
1.88,0.5,0.88333,316,20,22,1,0.90909,2373,2551,30,28,4.3667,2.5,0.73333,0.71429,4224,3888,0,0.1,0.9,1,1,0.96667,0,0,1,0.8,1,0.93333
1,0.98333,1,336,27,30,1,0.93333,1930,1956,23,20,3.6087,4.3,0.73913,0.75,3767,2450,0,0,0.7,0.8,0.8,0.76667,0.1,0,0.6,0.6,0.7,0.63333
1.2,0.9,0.96667,316,22,20,0.95455,1,2482,1914,28,30,5.2143,5.9333,0.67857,0.8,4747,4115,0,0,0.9,0.9,1,0.93333,0,0.1,0.9,1,1,0.96667
3.32,0.53333,0.96667,300,15,12,0.93333,1,2109,1830,35,38,2.4,5.9211,0.68571,0.73684,2307,3285,0,0.8,0.9,0.8,1,0.9,0,0.9,1,0.9,1,0.96667
2.56,0.4,0.91667,346,30,19,0.96667,1,2226,2060,20,31,4.6,6,0.8,0.74194,4902,3649,0,0,0.6,0.7,0.7,0.66667,0.1,0.2,1,0.8,1,0.93333
2.24,0.033333,0.016667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.8,0.98333,1,281,16,11,1,0.90909,2134,2122,34,39,2.8235,3.7692,0.61765,0.69231,3966,2405,0,0.4,1,1,1,1,0.1,0.8,1,1,1,1
2.4,0.98333,1,277,11,11,1,0.72727,2021,2482,39,39,3.9487,3.8974,0.71795,0.64103,3957,2874,0,0.9,1,1,1,1,0,1,1,1,0.9,0.96667
1.32,0.51667,1,334,29,11,1,1,2099,1988,21,39,3.3333,4.6923,0.71429,0.74359,3946,2436,0.1,0,0.6,0.7,0.7,0.66667,0,0.9,1,1,1,1
1.68,1,0.91667,191,2,2,1,0,1833,1844,48,48,2.625,2.2708,0.5625,0.4375,1876,1816,0.8,1,1,1,1,1,0.9,1,0.9,1,1,0.96667
1.8,0.98333,0.96667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.04,1,1,302,18,15,0.94444,1,2273,1961,32,35,3.125,4.0857,0.6875,0.68571,3464,3088,0.1,0.3,0.8,1,1,0.93333,0,0.6,0.9,1,1,0.96667
1.44,0.81667,0.81667,359,41,37,0.92683,0.97297,1785,1799,9,13,4.1111,5.8462,0.77778,0.69231,4154,2312,0,0.1,0.3,0.3,0.2,0.26667,0.1,0.1,0.5,0.3,0.3,0.36667
3.52,0.98333,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.12,0.16667,0.85,328,47,14,0.93617,1,1830,1846,3,36,2.3333,4.3889,0.33333,0.69444,2151,2637,0.1,0.1,0,0.1,0,0.033333,0,0.7,1,0.9,1,0.96667
2.56,0.88333,1,296,20,17,1,1,1787,1856,30,33,2.7667,2.8485,0.63333,0.69697,2277,2769,0.1,0.1,0.8,1,1,0.93333,0.1,0.5,0.8,0.9,1,0.9
4.12,0.48333,0.48333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.96,0.81667,0.78333,337,29,26,0.96552,0.96154,1947,1889,21,24,5.0952,3.75,0.71429,0.79167,3827,2896,0.1,0,0.6,0.8,0.6,0.66667,0,0,0.8,0.8,0.8,0.8
1.4,0.9,0.9,394,50,49,1,0.97959,1927,1860,0,1,NaN,3,NaN,1,NaN,2688,0,0,0,0,0,0,0.1,0,0,0,0,0
